name,apirest_id,original_id,latitude,longitude
CIRSA - Villa Carlos Paz,200000000000000001100,1100,-31.39916,-64.47369
APRHi - EDAR Tanti,100000000000000030501,30501,-31.344302,-64.540633
Rayo Cortado AgriculturaCba,100000000000000030268,30268,-30.071525,-63.818028
APRHi - Río Carcaraña - Puente RP 15 Cruz Alta,100000000000000070001,70001,-33.027064,-61.785881
Bazan,900000000000000000040,UNDEFINED,-31.4625988055556,-64.2384655555555
Recreo,900000000000000000123,UNDEFINED,-29.2603178055556,-65.0573009444444
Bell Ville,900000000000000000041,DEM_BELVIL13,-32.6105242222222,-62.68661925
Reolin,900000000000000000124,DEM_REOLIN33,-32.1881765,-64.3231872777778
Bicentenario,900000000000000000042,UNDEFINED,-31.6637133888889,-63.8326466388889
Rio Ceballos,900000000000000000125,DEM_RCEBAL13,-31.1745113888889,-64.3019714722222
Río Grande,900000000000000000126,DEM_CPELADO13,-32.2202480833333,-64.63617175
Brinkman,900000000000000000043,DEM_BRIKMA13,-30.8620805555556,-62.0323992222222
Río Primero,900000000000000000127,DEM_RIOPRIM13,-31.3463574444444,-63.5951801111111
Bruzzone,900000000000000000044,DEM_BRUZON13,-34.4230864444444,-64.3788604444444
Río Segundo,900000000000000000128,DEM_RIOSEG13,-31.6592385833333,-63.9138906666667
Buchardo,900000000000000000045,DEM_BUCHAR13,-34.7247369444444,-63.5091776388889
Río Tercero,900000000000000000129,DEM_RIOTER13,-32.1762551944444,-64.1261415277778
Canals,900000000000000000046,DEM_CANALS13,-33.54884,-62.8813066666667
Capilla del Monte,900000000000000000047,DEM_CMONTE13,-30.8811702222222,-64.5363554444444
Rosario Oeste,900000000000000000130,UNDEFINED,-32.9688501111111,-60.7800751944444
Sampacho,900000000000000000131,DEM_SAMPAC13,-33.3927528888889,-64.7141166111111
Carlos Paz,900000000000000000048,DEM_CARPAZ13,-31.4119544166667,-64.4823952222222
Villa de Maria de Rio Seco,900000000000000000154,DEM_VDEMAR13,-29.9060375555556,-63.7270176666667
Fitz Simons,900000000000000000071,DEM_FSIMON13,-32.1785094722222,-64.4208017777778
Villa de Soto,900000000000000000155,DEM_SOTO13,-30.8643591388889,-64.9857518888889
Freyre,900000000000000000072,DEM_FREYRE13,-31.1580718611111,-62.0974499444444
Villa del Rosario,900000000000000000156,DEM_VROSARIO13,-31.5557242777778,-63.5420652777778
General Deheza,900000000000000000074,DEM_DEHEZA33,-32.7634538611111,-63.8050750833333
Villa del Totoral,900000000000000000157,DEM_VTOTOR13,-30.7013189722222,-64.0704208888889
Villa Dolores,900000000000000000158,DEM_VDOLOR13,-31.9708539722222,-65.1642642777778
Gral. Paz,900000000000000000075,DEM_GRALPAZ13,-31.0945208333333,-64.1943891111111
Guatimozin,900000000000000000076,DEM_GUATIM13,-33.4602843611111,-62.4326173611111
Huinca Renanco,900000000000000000077,DEM_HRENAN13,-34.8360196666667,-64.3555877222222
Villa Mercedes,900000000000000000160,UNDEFINED,-33.6434832222222,-65.4634900555556
Villa Revol,900000000000000000161,DEM_VREVOL13,-31.43884525,-64.1707330277778
Inriville,900000000000000000078,DEM_INRIVI13,-32.9428293055556,-62.2392843888889
Isla Verde,900000000000000000079,DEM_IVERDE13KV,-33.2424524722222,-62.3952166666667
James Craik,900000000000000000080,DEM_JCRAIK13,-32.1473393055556,-63.4433872777778
Jesus Maria,900000000000000000081,DEM_JMARIA13,-30.9980817777778,-64.1027333611111
Jovita,900000000000000000082,DEM_JOVITA13,-34.5097824722222,-63.9408436944444
Justiniano Posse,900000000000000000083,DEM_JPOSSE132,-32.8637718333333,-62.7777946388889
La Calera,900000000000000000084,DEM_CALNVA13,-31.3531623611111,-64.3337171111111
La Carlota,900000000000000000085,DEM_LCARLOTA13,-33.3891635277778,-63.3042219444444
La Cumbre,900000000000000000086,DEM_CUMBRE66,-30.9863459166667,-64.5114470555555
La Falda,900000000000000000087,DEM_LFALDA13,-31.0991333888889,-64.4759067777778
La Francia,900000000000000000088,DEM_LFRANC13,-31.4102841944444,-62.6349692777778
La Laguna,900000000000000000089,DEM_LALAGU13,-32.8000098611111,-63.2442563888889
La Puerta,900000000000000000090,DEM_PUERTA13,-30.88955675,-63.2579386111111
La Toma,900000000000000000091,UNDEFINED,-32.1621050555556,-64.1511793333333
Laboulaye,900000000000000000092,DEM_LABOUL13,-34.1184027777778,-63.4016722222222
Laguna Larga,900000000000000000093,DEM_LAGUNA13,-31.762668,-63.7813393333333
Las Ferias,900000000000000000094,DEM_FERIAS13,-33.1516216666667,-64.3604406111111
Las Higueras,900000000000000000095,DEM_LASHIG13,-33.0916166666667,-64.2998277777778
Las Perdices,900000000000000000096,UNDEFINED,-32.7018278333333,-63.7001108333333
Las Playas,900000000000000000097,DEM_PLAYAS13,-32.4305501666667,-63.1921584166667
Las Varillas,900000000000000000098,DEM_LVARILL13,-31.8813475833333,-62.7290271111111
Las Vertientes,900000000000000000099,DEM_VERTIE13,-33.2953002777778,-64.5724279444444
Leones,900000000000000000100,DEM_LEONES13,-32.6670168611111,-62.30445975
Los Molinos,900000000000000000101,DEM_LOSMOL13,-31.8381151111111,-64.4448680555556
Los Pozos,900000000000000000102,DEM_LPOZOS33,-31.91198575,-65.0349771944444
